"","house_code","long","lat","kandida","kater","kawegi","near_kibuon_maranatha_church","near_munyu_maranatha_church","near_umbolwanda","shirikisho_church","unassessed","number_of_people","bondo_a_well_ewb_hope_college","bondo_concrete_water_tank","bondo_kokumu_well","bondo_water_kiosk","hand_dug_deep_well","kandwat","kapaul","kibuon_spring","koyanda","lela_b_well_ewb_oregon_state_sf_professional","lela_c","munyu_river","new_source","nyamilo_water_project_well","ogwedhi","ogwedhi_water_project","old_hand_dug_well","riamanyama","wadhanyim","wiyao_water_point","estimate"
"11","A11",34.3927028775215,-1.08831763602417,668.058744029,276.796029534,1561.74178285,496.112673481,1558.02112131,791.973662958,458.166804033,507.131482126,5,2367.15513524,1954.21687387,1725.67453798,1466.16472189,1068.77453929,352.060902195,306.914336414,452.186737796,646.769723388,3299.45818788,2928.71272773,2184.01165612,1308.8189789,652.853113312,1829.91563217,980.312385944,281.988050089,735.503677862,1006.82231271,998.870164061,116.638788905357
"12","A12",34.3920705467463,-1.08880101694541,588.30881148,365.06876548,1648.37007164,539.422416799,1646.32259403,815.17936372,371.253169646,565.745270846,21,2279.37585243,1902.68343493,1717.45790814,1463.39735917,1101.33865097,426.010239666,368.918670188,536.357605929,733.531626335,3250.56745075,2897.37206993,2260.58391042,1372.82933386,644.915010221,1914.94032789,895.775632985,320.694624629,714.450162457,1092.07686896,954.543761617,355.166452222349
"13","A13*",34.3914881721139,-1.08804711698657,643.6759529,386.80574278,1631.13705035,455.1957933,1656.98576328,916.52842906,406.327571637,496.842740252,5,2294.95182993,1990.55962499,1823.11939766,1569.31734478,1005.52078038,487.912574999,445.247962503,575.868107154,760.756403201,3339.73275452,2996.9986585,2315.04420116,1304.1879919,539.01109534,1889.49540382,868.369770002,413.558168674,818.790456005,1070.23532152,1049.19376508,116.638788905357
"14","A14*",34.3924973532557,-1.08922975765605,568.794494896,358.388458461,1654.42334967,591.865760015,1634.66959782,749.204817365,371.959167811,609.125195049,7,2280.4189702,1853.24724211,1651.55718149,1396.74153647,1159.3893055,388.892149008,322.229573785,512.78037593,715.480695217,3199.60576184,2837.81846575,2220.77165449,1412.40470689,711.818853181,1925.75270174,926.702680898,261.798667356,650.733749128,1102.81554104,900.452004929,146.454746819981
"15","A15",34.3919136375189,-1.08954083766437,506.775684846,429.424438966,1722.29167294,620.732222629,1707.5242465,786.983617406,300.10537745,649.618826431,20,2209.49398622,1821.51965674,1659.61504385,1410.01617349,1177.72283637,460.927381885,390.983378241,586.31759716,788.870373716,3170.01980269,2824.44533272,2290.51333182,1456.88582617,701.294602905,1991.52932274,855.035152508,320.990733458,651.284844051,1168.41283681,876.894282949,340.258473265037
"16","A16",34.3918221071362,-1.08987538272369,469.115935526,462.253058228,1757.46588109,657.694332732,1737.66696943,778.947295654,268.560355665,687.898554328,5,2176.5526927,1785.06231403,1635.57227624,1388.38420082,1212.15808145,482.861920828,408.534663177,613.341976245,817.419681323,3133.86348428,2792.40882136,2307.17482425,1495.31053956,727.363641476,2027.68479629,836.498304476,330.561209992,625.631080717,1204.59026696,842.692622903,116.638788905357
"17","A17*",34.3916504457593,-1.09012143086985,435.99981419,495.06168808,1790.72930752,685.061469319,1769.31496053,784.831993542,237.02360951,717.933093672,6,2143.93485543,1759.20265722,1625.32850253,1380.77139991,1235.58489579,510.908460323,434.299633932,643.818124609,848.496874318,3108.41550988,2772.76691687,2331.13595709,1525.73993202,741.588717307,2061.04098961,812.349265592,351.747672998,614.581434538,1237.94750746,820.622918352,131.546767862669
"18","A18",34.3908601999283,-1.08609247375283,841.800981372,448.401446951,1539.4612102,256.365749712,1623.86680682,1109.7852726,592.993399834,333.157976228,10,2416.00710237,2213.42150245,2043.55461561,1786.06922275,779.199668725,608.62069593,596.344425995,644.850105475,790.114028497,3563.1065078,3225.27826691,2373.79368431,1115.89548416,336.052300118,1778.30449952,928.936951476,597.466979561,1044.01260855,980.070342058,1276.6233185,191.178683691917
"19","A19",34.3936336040497,-1.08548372163169,996.057485796,209.904505006,1261.20213887,270.183480227,1313.8961458,967.708031038,772.069632611,216.312287022,9,2666.28229248,2270.54570349,1960.14355769,1690.45629987,824.629962137,399.842485175,434.142639117,372.046737573,482.801436623,3610.29296166,3208.96869683,2066.2803874,984.65775575,592.048454661,1517.82801106,1217.25057906,492.0564075,1016.41823244,699.487654797,1310.08180554,176.270704734605
"20","A20",34.3934656307101,-1.0856338983778,973.053730341,209.748850789,1286.23920479,267.238966638,1337.838078,963.346292581,747.980152545,223.852052113,6,2641.36959039,2253.28135552,1952.33584646,1683.37583026,829.377298021,399.157093111,428.271874564,381.245810419,500.406540364,3594.07242771,3196.79427731,2084.54331154,1002.7904155,578.032757844,1542.62708318,1192.48787561,481.353715401,1002.90319742,724.499606818,1293.31154079,131.546767862669
"21","A21",34.3927189707756,-1.0855115445562,954.355960459,282.280989402,1338.49254469,203.897246459,1408.24150694,1021.35798504,719.720251568,195.104585473,9,2596.73785314,2266.1997839,1999.75537941,1733.11349549,778.779486858,467.802622888,485.811574394,462.823079506,584.018818987,3610.93968077,3229.55844436,2167.84379363,1000.08782273,494.435189503,1587.35778994,1131.69869868,525.112887555,1033.43962198,776.614865825,1309.82419645,176.270704734605
"22","A22",34.3922160565853,-1.08586720866502,899.1345376,312.039732294,1406.66721728,218.460076669,1475.21390576,1024.55185379,660.602285025,241.694736541,1,2530.38866299,2227.9300686,1989.87704855,1725.86462484,793.584896111,488.027387178,493.345738018,503.071777568,638.856608862,3574.75333209,3205.6891381,2223.09834161,1049.74980768,454.944155588,1654.40727622,1063.21805049,518.557268945,1010.8004597,844.89168523,1275.43090805,57.0068730761088
"23","A23",34.3928701803088,-1.08415391962809,1102.7054942,379.442483332,1231.34097018,127.503328159,1340.52477924,1138.1708965,864.419951485,46.535806604,8,2723.68270852,2417.0528568,2129.61065694,1860.3896583,654.25124093,568.995745583,604.443771172,524.799704638,596.069138989,3760.93041273,3372.11113307,2160.22499754,848.531502803,491.783219178,1467.82417537,1238.89220838,658.410184838,1176.89967755,675.041461311,1459.57517826,161.362725777293
"24","A24",34.392561390996,-1.08395178430893,1114.26045092,417.666841755,1246.45544081,91.3653510594,1367.01126069,1175.21342048,873.008904157,29.1881123241,6,2720.01433629,2439.85623087,2164.15209769,1895.54809909,617.167499343,607.503123381,640.561629147,565.684781284,635.797163223,3785.0534175,3402.04543958,2196.63034151,833.549967764,458.656254303,1477.6180944,1228.41857194,691.273357147,1206.1585329,693.886053606,1484.05555027,131.546767862669
"25","A25",34.3930113315582,-1.08338493378142,1188.95513909,445.395241954,1169.85953084,155.223378354,1302.4597355,1204.88099265,949.610733277,51.3735712808,8,2800.47914964,2502.57102285,2202.03977646,1931.54879238,593.208883123,632.213600933,675.121608515,570.636665024,613.997280524,3845.70709467,3451.83560471,2154.52622284,761.596302972,516.78085356,1398.28272191,1308.02879647,735.425443337,1257.94036786,621.004465118,1544.35141907,161.362725777293
"26","A26*",34.3926535919309,-1.08249493466115,1273.36330793,551.777798961,1153.84344654,192.109194956,1321.59180166,1310.95558423,1029.88451044,140.646943331,15,2855.58295336,2601.69069262,2308.68935376,2038.14211951,491.578682187,737.918089445,781.760543163,670.659808292,697.13727831,3946.31931992,3557.19444423,2209.2942585,673.98231613,507.527681666,1365.89418923,1350.86345075,841.524316632,1362.51656859,624.460076791,1645.06352934,265.718578478477
"27","A27",34.392638169229,-1.08095226890069,1439.8372101,710.947645248,1085.78056051,349.169315525,1306.67938399,1465.8010995,1194.31795505,312.069607983,7,2994.96424854,2773.23566305,2468.63785154,2196.81478633,378.634496265,892.544924436,942.745249521,809.632435068,802.958439207,4117.74340666,3724.85183565,2247.67667667,511.223728209,594.271685456,1270.37367386,1481.11843404,1007.64057493,1531.53869322,604.575456597,1816.43316276,146.454746819981
"28","A28",34.3923290446401,-1.0811000993563,1416.64435545,708.089454978,1123.69391549,324.815090412,1341.6390043,1465.64348073,1170.02362187,298.904510826,8,2962.14155151,2757.41019371,2465.91950585,2194.80640982,359.308676185,892.142884147,939.085711747,815.266506659,817.949190205,4103.08060347,3716.4346961,2276.96647352,539.380236982,557.190179344,1308.28728074,1447.16233571,1000.53959942,1521.66231439,638.932004294,1802.18420249,161.362725777293
"29","A29",34.3918314948678,-1.08119261909356,1396.66441708,722.132335738,1179.22081791,308.018224185,1397.36922235,1481.70343291,1148.39940493,302.412633499,8,2923.13656872,2749.01540178,2477.63133675,2207.66845519,323.623076518,908.932014477,951.111313662,840.469637737,854.79064283,4096.24793082,3719.36078603,2328.31462783,572.752222007,508.567151301,1361.11354124,1406.07505975,1007.34795582,1523.38147431,694.437075366,1796.80490926,161.362725777293
"30","A30",34.391692019999,-1.0813488299479,1377.09818363,714.087102839,1199.7062497,290.527219313,1413.8025457,1473.87217222,1128.5000954,291.912615799,7,2900.12862799,2732.39653015,2467.86007268,2198.38211163,325.308142121,901.757276013,941.99118106,836.994527349,856.987139687,4080.02179276,3706.29118549,2339.49572018,595.40768337,485.414067186,1383.2781742,1382.92760713,996.207623676,1510.18028853,710.596114201,1781.21675068,146.454746819981
"31","A31",34.3911927938461,-1.0806297906483,1449.31948529,810.968285123,1227.92022399,375.388094506,1466.72028687,1570.74187254,1199.37101874,387.822937782,7,2938.51332362,2815.50296121,2563.44010333,2294.36486914,229.095378649,998.896681771,1038.25006234,933.89543276,949.204710937,4164.10686002,3797.59800032,2412.23282541,558.711160548,506.977275981,1393.81378265,1418.76310678,1090.70095463,1601.59694682,766.490091559,1867.50483624,146.454746819981
"32","A32",34.3928718566895,-1.08043201290901,1502.00338415,757.910281096,1042.69456092,412.118372642,1280.14343179,1508.35548268,1256.92193397,370.026346137,0,3057.44908366,2830.90849121,2513.71485321,2241.1526042,375.930247198,936.228622013,990.01150632,845.915339811,825.095305833,4174.41340394,3775.88971101,2237.87849515,447.943727152,651.213918895,1218.68145034,1542.82070675,1058.37341679,1584.49059246,582.327634298,1873.04868794,42.0988941187968
"33","A33*",34.3926955014467,-1.07964525963895,1583.28780961,847.390061225,1039.1722256,491.532534175,1303.78509388,1596.68716348,1336.83180475,457.231046951,11,3119.78991493,2918.49670232,2602.65247179,2329.91537478,333.532773237,1025.04065634,1079.48796657,932.223366455,903.362645199,4262.63947695,3865.5363581,2282.32749566,375.74509268,698.22604971,1195.65625234,1602.04588258,1148.01418348,1673.9298546,617.60655567,1961.27400551,206.086662649229
"34","A34",34.3928674980998,-1.07875056638865,1684.58605987,938.867459621,1003.43180538,592.805891574,1296.56121584,1682.47930555,1438.04391838,556.880487118,11,3214.04760838,3017.8774187,2690.3192414,2416.92890863,351.752793582,1113.08704328,1170.68830399,1013.52212886,969.951293487,4361.25772379,3959.09971286,2297.21000246,280.24471808,786.245044396,1138.57171916,1695.14429929,1242.15175075,1769.65807746,632.007767051,2059.9137064,206.086662649229
"35","A35",34.3940449878573,-1.07930903736556,1656.02347655,856.03131371,884.623598481,577.305448511,1158.25481331,1582.02703214,1414.74419075,515.514489396,2,3234.0735308,2958.39381443,2591.71154404,2317.33570864,479.687644852,1020.14280255,1084.92417669,908.447243818,845.996056453,4296.10979507,3874.12291364,2152.86204257,296.565201594,831.607126553,1044.5698743,1721.39709967,1164.44120163,1694.98188392,487.205346795,1997.50068921,71.9148520334208
"36","A36",34.3945411965251,-1.08073236689447,1523.00746117,694.256605921,879.839450971,475.300118837,1094.58328914,1414.60894238,1287.26212429,391.574013711,16,3138.03190233,2803.27010874,2424.33029122,2149.89629222,561.928849114,854.36562041,921.17168698,740.884204798,682.768423197,4137.73429445,3708.94393084,2050.3973856,454.916470937,783.370887551,1080.47974634,1637.23616443,1003.5914446,1534.25355823,394.32553008,1841.93900325,280.626557435789
"37","A37*",34.3951326236129,-1.08179332688428,1438.52560993,576.912228467,875.853957348,447.659293233,1037.52430792,1283.24628336,1210.32307368,344.365145939,24,3086.00393803,2690.74957185,2292.92482399,2018.28716107,667.184976905,728.155641977,798.906408813,609.047309274,548.279753261,4020.61081508,3582.2405072,1955.88798471,579.968304814,792.560595272,1104.72728321,1601.30519452,886.032523824,1415.53725509,338.060697793,1729.85214807,399.890389094285
"38","A38",34.3955181911588,-1.08482066439111,1162.68232535,252.17523189,1062.88452253,430.816083732,1092.85720707,948.114662701,956.74252766,331.004360822,10,2863.5669522,2360.57986749,1957.58438393,1683.39144853,898.708084002,388.874231786,462.030689199,277.10307668,294.066610889,3685.30328141,3242.98621289,1860.64990823,919.130312501,788.377248498,1331.51659034,1433.93473658,554.495768183,1080.40091696,508.556133635,1401.72432883,191.178683691917
"39","A39*",34.3953260779381,-1.08552964621779,1085.21267646,170.70916106,1136.79560711,435.198833425,1147.81850053,880.688894218,883.786751689,348.822330493,4,2792.51344679,2279.75563351,1888.77880018,1615.17508805,941.184461659,313.941344431,383.010995218,221.187418579,295.005795988,3605.8237819,3168.42123956,1878.05055037,994.35396975,777.349888501,1408.56699829,1376.12034602,473.491604799,1000.67442385,586.453131395,1320.51727946,101.730809948045
"40","A40",34.3902523443103,-1.08560439937469,889.439730232,527.565984463,1562.09224128,246.427253695,1667.67586303,1196.20456467,638.778919479,344.276085993,8,2418.95922556,2275.24187148,2125.59170369,1869.40795972,717.107170537,692.710754069,682.564292224,721.884510199,857.532529832,3624.96955176,3298.23842525,2441.77689073,1090.8201266,249.430789447,1791.59174617,916.177306127,683.937204449,1123.09414317,1007.64757077,1346.05236585,161.362725777293
"41","A41",34.3896310776472,-1.08421191201401,1043.23193313,651.083714455,1540.19635717,236.070511098,1689.34596602,1353.92479273,792.977717915,349.031232803,6,2508.45293606,2438.25055736,2293.3084308,2035.76550249,560.04858725,829.269814054,830.34527913,835.27935408,943.578642296,3787.60659808,3467.15159124,2518.39545429,985.846901115,131.667367351,1749.54702285,990.693559586,842.110377712,1292.28761999,1003.33726691,1513.95754577,131.546767862669
"42","A42",34.389313235879,-1.08359880170431,1112.64021629,715.695516744,1540.844426,272.74711132,1708.98515286,1427.60470492,863.057373472,381.089126275,4,2547.90011074,2511.08038054,2369.84190682,2111.95420362,493.963034485,896.986421787,901.536526723,895.318626111,993.10307524,3860.11818889,3543.1753408,2559.8686852,948.438235523,121.793134801,1740.08722774,1028.07502195,916.315779614,1369.07580118,1015.21893531,1589.43324279,101.730809948045
"43","A43",34.3890215456486,-1.08173064142284,1321.93618615,867.026868126,1494.37303912,390.93516039,1712.8927302,1605.40062303,1072.77311177,470.565447067,8,2712.72651599,2721.32312569,2564.5335514,2303.41254113,294.818400189,1055.10835518,1071.93760009,1029.00551305,1093.60614921,4070.35657652,3750.08263931,2621.78288842,811.443344599,289.567165626,1664.4620632,1195.85809831,1098.96267943,1569.77418243,1009.61582153,1797.79148954,161.362725777293
"44","A44",34.3918656930327,-1.07961408449452,1570.7314889,880.534400816,1128.76245814,483.577032205,1396.02772977,1636.91975219,1321.85953797,470.75744042,0,3073.87120953,2924.22351325,2638.480109,2367.0878626,242.121200628,1063.49041549,1111.82972281,981.273942624,968.190810443,4271.12341118,3889.0647593,2371.24114187,423.701805379,642.250175344,1278.18618968,1554.17718295,1173.57476701,1693.86680657,708.088472988,1971.11565651,42.0988941187968
"45","A45",34.390449821949,-1.07583686140733,1975.4926939,1329.00804339,1280.26124505,914.691709298,1636.57916902,2084.32015085,1724.76081841,916.668317266,7,3369.84433078,3353.16861832,3086.9498943,2815.37689838,379.798720203,1511.17963459,1560.36564989,1423.38807676,1390.22286904,4702.28851271,4334.3639823,2670.90421045,433.329198642,963.862802053,1332.38030508,1861.63308388,1621.134348,2138.32236528,1025.69856542,2406.76561425,146.454746819981
"46","A46",34.390996992588,-1.0759096035007,1970.4943189,1300.46344725,1218.91366012,899.09224022,1576.43031949,2052.70785322,1719.91830453,893.788559686,5,3388.96503232,3340.65374235,3057.64162481,2785.32934794,389.500673413,1480.4402987,1532.36131567,1388.06118528,1347.92155701,4688.97801286,4312.15421457,2612.43907717,372.180421862,971.956646847,1272.29468549,1876.75152193,1596.26504051,2116.8631647,971.255441863,2390.90444822,116.638788905357
"47","A47",34.3909963220358,-1.07695615084556,1854.38888265,1191.02966252,1206.14834075,783.293934066,1542.09520202,1945.90094831,1603.85605804,780.602521921,5,3284.93853888,3224.53633024,2948.91223691,2677.18817074,284.061853864,1372.82976554,1422.55145661,1285.04462928,1254.4998706,4572.99561684,4198.99048823,2564.61963055,364.600316183,861.284916959,1286.60741531,1769.97250133,1484.37496615,2003.25094749,908.028581733,2275.37702023,116.638788905357
"48","A48",34.3915146589279,-1.07715728097959,1837.07484626,1150.59491928,1147.3862353,756.971289691,1480.64209778,1902.5096657,1587.03845493,746.342429368,5,3291.87378526,3198.87999329,2907.54679734,2635.17362279,299.442213453,1330.27035304,1382.56176873,1238.27510985,1201.74447827,4546.3196541,4163.98533246,2502.84084097,310.539471664,861.336601178,1233.92858311,1774.27011499,1447.37295971,1969.32467369,846.978175397,2246.77874358,116.638788905357
"49","A49",34.3910305202007,-1.07715258794329,1832.87465981,1169.26619734,1201.17837406,761.173345847,1532.85109443,1924.41019541,1582.37474134,758.501113667,5,3267.25711137,3202.48991842,2927.17919109,2655.52357479,267.332464228,1351.26915155,1400.73487096,1264.10079489,1235.01361971,4550.91499813,4176.86712415,2552.61402723,363.521683228,841.976867837,1286.69535959,1751.65187991,1462.35499343,1981.10932103,894.002150274,2253.23318776,116.638788905357
"50","A50",34.3904880434275,-1.07696788343709,1849.97617953,1211.02878043,1262.47279208,789.969109625,1596.38080318,1968.4070836,1599.25021302,795.259721648,0,3258.39898937,3227.48589226,2968.64473995,2697.75280242,259.538714141,1394.91761971,1441.69872954,1312.1388495,1289.15274127,4576.67815298,4211.40059051,2616.18152068,421.002890761,843.130229715,1342.56528312,1746.36335332,1500.18468453,2015.27750071,956.806283891,2281.70058053,42.0988941187968
"51","A51",34.3901836127043,-1.07782872031421,1753.24006108,1138.59086532,1294.3076819,703.498141536,1608.24657667,1897.99527355,1502.52351889,717.740181446,7,3157.60174058,3135.2220122,2893.67654758,2624.03050897,158.01934804,1324.90254943,1367.50868286,1250.05493758,1240.88030388,4484.77921549,4127.47288398,2612.59677418,471.910533258,741.865287617,1394.21764699,1644.98837646,1421.64297294,1931.80347645,946.806620692,2192.50944262,146.454746819981
"52","A52",34.3901463970542,-1.07814047192698,1718.49304696,1109.67302883,1299.47903537,671.03181318,1606.09455773,1869.33497787,1467.78308095,687.762132189,10,3124.74657688,3101.13218055,2863.62334385,2594.33686102,124.036544876,1296.56844588,1337.97044776,1224.1080011,1219.20569039,4450.7372839,4095.11830813,2604.62207078,486.57062049,707.334677859,1406.38580395,1611.44266627,1390.89571329,1899.68710456,938.217823564,2159.05874282,191.178683691917
"53","B1",34.4049977883697,-1.07845389959152,2383.00911064,1477.52108377,364.372815235,1596.12649558,245.890059143,1782.92262855,2206.78999488,1485.13497641,14,4114.51933984,3333.0555809,2627.77672035,2378.38952329,1699.04039781,1492.84927562,1584.47534843,1340.13492506,1133.48631811,4547.22480713,3955.07116134,1161.73679006,1210.32380144,1950.28471486,477.861025856,2702.71859378,1692.9451641,2104.63086686,821.099005586,2451.08503651,250.810599521165
"54","B2",34.4056442007423,-1.07846194479319,2433.7894471,1532.82253533,434.521945147,1662.39112027,273.838008418,1814.09920167,2261.36564221,1551.01490094,10,4167.54660169,3361.82704722,2641.19812388,2395.15169221,1770.78797682,1541.96853795,1633.17125103,1390.67593807,1183.60015901,4565.56466813,3965.13085965,1112.66256489,1281.39153727,2017.9363921,524.977302205,2763.20093197,1741.27673939,2142.7293471,888.519321983,2488.55242374,191.178683691917
"55","B3",34.4038591906428,-1.08032709013699,2147.06291803,1249.33749191,375.147255814,1406.6835857,64.8713476084,1540.68166749,1976.75624894,1293.94931522,15,3881.60861859,3091.5921315,2401.12499744,2147.7984483,1575.76053629,1254.98580068,1346.1436117,1104.04027203,896.900787113,4313.73684225,3732.00303455,1123.37421168,1142.64304658,1768.54784728,611.281813421,2486.59699277,1454.23301233,1860.90920645,647.698570285,2207.34840771,265.718578478477
"56","B4",34.3999505415559,-1.07661087741788,2198.29118494,1286.59588918,237.438642824,1225.27487192,661.654230547,1827.04389828,1982.49587755,1128.93339923,7,3871.55700778,3348.17537732,2787.9132858,2518.98530729,1171.2802287,1376.70293298,1465.41362007,1222.74520378,1048.86116343,4637.66228153,4119.13826586,1717.86552951,632.487958366,1536.47240873,325.063479872,2386.17040025,1569.94572519,2066.53357062,533.631511342,2405.83103803,146.454746819981
"57","B5",34.3991827592254,-1.07628571696965,2187.56608794,1284.29208411,329.805244384,1188.76208888,749.973143246,1855.60983753,1966.35422791,1097.10675835,11,3845.28114312,3364.66382687,2827.54878357,2556.95224914,1098.71852076,1385.79970051,1472.67587132,1234.42865285,1070.09844848,4662.93259763,4156.04778594,1807.75131579,548.617747937,1487.48977339,384.871086072,2351.1933777,1575.15693713,2080.65154198,541.566864277,2416.6813822,206.086662649229
"58","B6",34.3995019420981,-1.07708185718089,2127.82955645,1217.68149283,265.413418175,1153.1992797,667.820478706,1769.99148954,1911.16220735,1056.64707694,5,3799.37716018,3285.81544619,2737.34424383,2467.35302881,1110.82654715,1311.1612779,1399.30220776,1158.02525567,987.876731941,4579.28728031,4066.99996852,1727.06854117,584.567841869,1466.0186172,395.733322258,2313.92589369,1503.22583446,2003.05110708,466.635492726,2341.20075355,116.638788905357
"59","B7",34.3990727886558,-1.07771508181516,2042.96572005,1133.67468716,306.000276693,1070.99658249,671.020395524,1696.2174032,1826.10892653,973.370397128,9,3714.78324117,3206.70063638,2669.62756648,2398.66107831,1051.06193123,1229.70646636,1317.34152617,1077.36167513,910.928241625,4503.64548998,3997.40121004,1727.71345246,547.823760092,1388.02312515,476.302060899,2230.83844679,1420.75003582,1923.15438373,384.771913838,2260.26324341,176.270704734605
"60","B8",34.3976770341396,-1.07695045215825,2046.00903058,1159.30858449,467.306090704,1021.48390298,847.956932324,1778.63779498,1818.53915925,935.099879888,0,3683.80314608,3261.11512738,2768.42245455,2495.23812985,917.276093885,1277.93248047,1360.99854912,1132.65097048,988.056316125,4573.02180072,4088.82736579,1904.3438953,381.17392802,1309.69384445,567.74841691,2182.72493873,1459.38863294,1976.5907481,455.640819509,2305.99858766,42.0988941187968
"61","B9",34.3988843634725,-1.0756890306961,2230.98213551,1334.24728144,392.021122841,1215.32236128,818.343424392,1920.08000506,2006.4105126,1127.76063198,17,3876.83316062,3423.03040188,2895.79944378,2624.68921814,1088.86504544,1441.79780822,1527.57083773,1292.02122301,1132.45931396,4725.21058277,4223.1381014,1874.32484003,524.947970478,1502.25530972,398.506102871,2376.80656495,1628.79555606,2138.41289315,600.512224708,2472.55325426,295.534536393101
"62","B10",34.3982275575399,-1.07549359915529,2218.67538254,1331.98107231,465.428175412,1186.08052919,887.941425232,1939.97756041,1990.28761189,1103.10295954,6,3849.94746678,3431.05531345,2923.18295979,2650.9865626,1029.41272459,1447.95826971,1531.87879891,1301.03216449,1149.91972019,4739.65537231,4247.42445023,1945.5528927,459.310435383,1461.02937394,467.538910744,2344.62587405,1631.05043104,2146.26912575,615.706515277,2477.14493687,131.546767862669
"63","B11",34.3974061310291,-1.07550499653538,2180.62999201,1307.52223613,545.33485068,1131.81315392,959.369618014,1940.31087328,1948.33896183,1054.21447294,8,3795.03618548,3415.29511249,2931.59738508,2658.28287763,945.77672193,1432.98106888,1514.41848495,1290.05123384,1149.9382257,4731.00258509,4251.12807666,2018.54220459,372.088367813,1393.52064696,558.504767752,2285.11569425,1610.87148955,2131.61758371,618.7017449,2458.15967558,161.362725777293
"64","B12",34.3972904607654,-1.07520296594884,2206.77403084,1337.56558309,572.041665701,1152.93073846,989.714911546,1974.42807172,1973.35016207,1077.47143419,8,3814.96826029,3446.68927527,2966.50680149,2693.10007904,949.349778933,1464.88883269,1545.82358397,1322.71756485,1184.21684748,4763.60817892,4285.49179852,2048.56498279,373.241440554,1408.20816187,569.152231462,2303.33131359,1641.69244709,2163.3840092,653.647474482,2489.0171499,161.362725777293
"65","B13 - NEED TO SURVEY",34.3955527245998,-1.07624951353615,2030.79692114,1195.10538797,714.059108078,956.561948647,1093.64403881,1877.75171743,1791.62793591,891.544005052,6,3609.71659176,3308.89808787,2882.42751428,2607.62015185,724.31377066,1340.43862667,1414.98347816,1209.32803093,1098.64909693,4638.02476956,4187.25725933,2146.79153529,150.318147941,1191.38915658,774.071340061,2093.88719477,1504.04503084,2032.84617902,600.901766316,2347.86858126,131.546767862669
"66","B14",34.4010354951024,-1.07810795590005,2125.47727229,1205.10826917,102.1779015,1221.33585727,462.820808549,1680.7325861,1922.72882775,1116.08726195,5,3827.05504519,3218.2290178,2620.92655248,2355.01810162,1262.23426314,1270.54147539,1361.79354919,1113.73207687,924.301276605,4491.06569905,3954.6939324,1521.98030244,770.326078892,1558.17780003,375.183152105,2366.63750698,1469.26287015,1944.90065179,462.337575108,2288.78548268,116.638788905357
"67","B15",34.3988183140755,-1.07536152363007,2260.27924303,1366.12230843,419.080332665,1238.4335288,848.321694748,1956.15825553,2034.48624999,1152.61830396,11,3901.22597941,3457.36694168,2932.62647337,2661.43127173,1095.58528739,1475.59278523,1561.00218759,1326.33308961,1168.11047295,4760.65493784,4259.74272175,1902.58792685,526.489944236,1520.0706555,400.69975614,2398.93779116,1661.80244513,2172.64105863,635.546682988,2506.16326266,206.086662649229
"68","B16",34.3993252515793,-1.07926177181867,1911.68454628,994.115227827,331.448255074,992.102483552,581.331834757,1526.8062675,1703.30053313,886.715729864,8,3603.85317113,3045.32543628,2496.2601383,2225.66982907,1066.53723095,1075.95556955,1165.40166868,921.186336909,746.087834193,4336.34628251,3824.89528055,1617.40832881,633.411755548,1331.36615007,582.505997321,2138.18985444,1270.87902258,1763.94140889,240.626171859,2103.84789479,161.362725777293
"69","B17",34.3996015191078,-1.07959296584812,1898.51312624,978.956225933,329.253192594,999.941622722,543.047993136,1493.1933595,1693.81043442,892.602118753,11,3597.56115031,3016.93957956,2457.90660304,2187.94528919,1098.18671558,1053.35430525,1143.60552847,897.580363054,717.249547636,4303.86282904,3787.68282202,1573.21813835,677.846147395,1344.65342034,596.043199267,2139.06044092,1249.98039777,1737.34843231,232.944552259,2078.64905518,206.086662649229
"70","B18",34.39945936203,-1.08051916920248,1805.60939197,885.069785772,414.604546773,939.714812999,547.712575473,1389.09712914,1605.2248218,829.518713995,18,3511.96246741,2913.2450772,2355.83113592,2085.42636865,1091.6649257,952.82162637,1043.56026838,796.532361632,613.721033995,4199.68306345,3684.87225691,1543.7478243,720.38463898,1293.29531142,693.257689418,2064.24776341,1150.51108071,1634.34888334,163.933217558,1976.22380211,310.442515350413
"71","B19",34.4000424072146,-1.08056308256479,1840.95334442,920.744392632,381.013618183,997.403802684,482.855424703,1392.69327094,1645.29646694,886.393038259,8,3553.80237989,2925.38043053,2348.33168584,2079.49407624,1156.5507501,977.437389557,1069.01532807,820.439235338,629.83018037,4204.07796109,3679.70445641,1482.43655466,776.076613421,1353.31631333,669.56515446,2114.11558389,1176.91450615,1650.59707343,224.697620162,1994.32365576,161.362725777293
"72","B20",34.4005547091365,-1.08109004286294,1831.77449691,915.085322911,409.180806238,1030.70722778,429.673596061,1345.10273994,1643.68782242,918.291908682,8,3553.26122662,2885.24122504,2288.90650993,2021.66339768,1221.85310261,956.077144339,1048.26597808,799.255499652,600.874424014,4155.19869053,3621.81259208,1406.83010747,856.248882293,1391.6371919,705.13798839,2128.65608313,1156.9407108,1616.53010617,275.691079182,1961.92723905,161.362725777293
